
Categoria,Top,Titulo,Autor,ISBN,Sinopsis,Paginas,Anio,Enlace_Amazon
Negocios y Emprendimiento,Top 9 libros sobre finanzas personales,Invierta en Bolsa,Benjamin Graham,978-8499889172,Principios atemporales para invertir con seguridad y rentabilidad.,320,1949
Negocios y Emprendimiento,Top 9 libros sobre finanzas personales,El Secreto,Rhonda Byrne,978-8499723992,La ley de atracción aplicada a la abundancia y prosperidad.,224,2006
Negocios y Emprendimiento,Top 9 libros sobre finanzas personales,El Hombre Más Rico de Babilonia,George S. Clason,978-8499724005,Parábolas sobre ahorro, inversión y manejo del dinero a través de la historia.,144,1926
Negocios y Emprendimiento,Top 9 libros sobre finanzas personales,Piense y Hágase Rico,Napoleon Hill,978-8499724012,Mentalidad para alcanzar el éxito financiero mediante la persistencia.,256,1937
Negocios y Emprendimiento,Top 9 libros sobre finanzas personales,El Duelo,Arturo Pérez-Reverte,978-8425356334,Novela sobre ambición, poder y corrupción en el mundo financiero.,448,2020
Negocios y Emprendimiento,Top 9 libros sobre finanzas personales,La Psicología del Dinero,Morgan Housel,978-8418369138,Lecciones breves sobre comportamiento financiero y decisiones irracionales.,256,2020
Negocios y Emprendimiento,Top 9 libros sobre finanzas personales,El Inversor Inteligente,Benjamin Graham,978-8499889189,Defensiva y especulación en mercados volátiles.,640,1949
Negocios y Emprendimiento,Top 9 libros sobre finanzas personales,Rico para Siempre,Tomás Byrnes,978-8418369145,Estrategias para generar ingresos pasivos y libertad financiera.,288,2021
Desarrollo Personal,Top 9 libros para superar la procrastinación,Comezón de Moverse,Mel Robbins,978-8425356341,Técnica de los 5 segundos para vencer la indecisión y actuar.,288,2017
Desarrollo Personal,Top 9 libros para superar la procrastinación,El Arte de la Simplicidad,Dominique Loreau,978-8425356358,Minimalismo aplicado a la vida diaria para enfocarse en lo esencial.,224,2005
Desarrollo Personal,Top 9 libros para superar la procrastinación,Hábitos Atómicos,James Clear,978-8417693280,Cómo construir buenos hábitos y eliminar malos con pequeños cambios diarios.,320,2018
Desarrollo Personal,Top 9 libros para superar la procrastinación,La Sombra del Viento,Carlos Ruiz Zafón,978-8425356365,Novela sobre la pasión por los libros y la superación personal.,576,2001
Desarrollo Personal,Top 9 libros para superar la procrastinación,El Poder del Ahora,Eckhart Tolle,978-8499724029,Vivir en el presente para liberarse de ansiedades y miedos.,224,1997
Desarrollo Personal,Top 9 libros para superar la procrastinación,Minimalismo,Francine Jay,978-8425356372,Guía para deshacerse de lo innecesario y enfocarse en experiencias.,192,2016
Desarrollo Personal,Top 9 libros para superar la procrastinación,Despierta el Gigante que Dormita,Anthony Robbins,978-8499724036,Técnicas para liberar potencial interior y tomar control de la vida.,560,1991
Desarrollo Personal,Top 9 libros para superar la procrastinación,El Método,Greg McKeown,978-8425356389,La disciplina de enfocarse en lo esencial y decir "no" a lo trivial.,272,2014
Desarrollo Personal,Top 9 libros para superar la procrastinación,La Magia del Orden,Marie Kondo,978-8425356396,Método KonMari para organizar el espacio y la mente.,224,2011
Desarrollo Personal,Top 9 libros de psicología positiva,Fluir,Mihaly Csikszentmihalyi,978-8425356402,La psicología de la experiencia óptima y la felicidad.,320,1990
Desarrollo Personal,Top 9 libros de psicología positiva,Felicidad,Ed Diener,978-8425356419,Ciencia de la felicidad y cómo cultivarla en la vida diaria.,288,2008
Desarrollo Personal,Top 9 libros de psicología positiva,El Cerebro del Niño,Daniel J. Siegel,978-8425356426,Desarrollo infantil y cómo fomentar bienestar emocional.,336,2011
Desarrollo Personal,Top 9 libros de psicología positiva,Resiliente,Rick Hanson,978-8425356433,Construir fortaleza mental para superar adversidades.,320,2018
Desarrollo Personal,Top 9 libros de psicología positiva,La Felicidad es un Camino,Boris Cyrulnik,978-8425356440,Resiliencia y cómo encontrar sentido en el sufrimiento.,256,2014
Desarrollo Personal,Top 9 libros de psicología positiva,El Proyecto Happiness,Gretchen Rubin,978-8425356457,Un año de experimentos para aumentar la felicidad.,304,2009
Desarrollo Personal,Top 9 libros de psicología positiva,Optimismo,Martin Seligman,978-8425356464,Cómo cambiar el pensamiento pesimista por uno optimista.,320,1990
Desarrollo Personal,Top 9 libros de psicología positiva,La Vida Secreta del Cerebro,David Eagleman,978-8425356471,Neurociencia de las emociones y la toma de decisiones.,288,2011
Desarrollo Personal,Top 9 libros de psicología positiva,El Poder de los Hábitos,Charles Duhigg,978-8425356488,Cómo los hábitos moldean nuestras vidas y cómo cambiarlos.,400,2012
Tecnología y Futuro,Top 9 libros sobre inteligencia artificial,Superinteligencia,Nick Bostrom,978-8425356495,Riesgos y oportunidades de la IA superhumana.,352,2014
Tecnología y Futuro,Top 9 libros sobre inteligencia artificial,Vida 3.0,Max Tegmark,978-8425356501,Futuro de la IA y su impacto en la humanidad.,384,2017
Tecnología y Futuro,Top 9 libros sobre inteligencia artificial,El Fin del Empleo,Ricardo Vargas,978-8425356518,Automatización y el futuro del trabajo en la era de la IA.,304,2018
Tecnología y Futuro,Top 9 libros sobre inteligencia artificial,Homo Deus,Yuval Noah Harari,978-8425356525,El futuro de la humanidad con biotecnología e IA.,464,2015
Tecnología y Futuro,Top 9 libros sobre inteligencia artificial,AI Superpowers,Kai-Fu Lee,978-8425356532,Carrera global por el dominio de la IA entre China y EE.UU.,288,2018
Tecnología y Futuro,Top 9 libros sobre inteligencia artificial,La Cuarta Revolución Industrial,Klaus Schwab,978-8425356549,Fusión de tecnologías que transforman la economía y sociedad.,320,2016
Tecnología y Futuro,Top 9 libros sobre inteligencia artificial,Arquitectura de Sistemas,Luis Joyanes,978-8425356556,Fundamentos de diseño de sistemas complejos.,512,2019
Tecnología y Futuro,Top 9 libros sobre inteligencia artificial,Deep Learning,Ian Goodfellow,978-8425356563,Introducción a redes neuronales y aprendizaje profundo.,800,2016
Tecnología y Futuro,Top 9 libros sobre inteligencia artificial,El Futuro de la Humanidad,Michio Kaku,978-8425356570,Predicciones sobre colonización espacial y tecnología.,352,2018
Tecnología y Futuro,Top 9 libros de ciencia ficción distópica,1984,George Orwell,978-8425356587,Sociedad totalitaria bajo vigilancia constante.,328,1949
Tecnología y Futuro,Top 9 libros de ciencia ficción distópica,Un Mundo Feliz,Aldous Huxley,978-8425356594,Sociedad controlada por ingeniería genética y drogas.,288,1932
Tecnología y Futuro,Top 9 libros de ciencia ficción distópica,Fahrenheit 451,Ray Bradbury,978-8425356600,Sociedad donde los libros están prohibidos.,192,1953
Tecnología y Futuro,Top 9 libros de ciencia ficción distópica,El Juego de Ender,Orson Scott Card,978-8425356617,Niños entrenados para salvar a la humanidad de alienígenas.,352,1985
Tecnología y Futuro,Top 9 libros de ciencia ficción distópica,Neuromante,William Gibson,978-8425356624,Ciberespacio y realidad virtual en un futuro decadente.,320,1984
Tecnología y Futuro,Top 9 libros de ciencia ficción distópica,La Trilogía de los Mundos,Cixin Liu,978-8425356631,Contacto con civilizaciones alienígenas y sus consecuencias.,400,2008
Tecnología y Futuro,Top 9 libros de ciencia ficción distópica,Parque Jurásico,Michael Crichton,978-8425356648,Dinosaurios recreados mediante ingeniería genética.,448,1990
Tecnología y Futuro,Top 9 libros de ciencia ficción distópica,El Hombre en el Castillo,Philip K. Dick,978-8425356655,Mundo alternativo donde las potencias del Eje ganaron la II Guerra Mundial.,256,1962
Tecnología y Futuro,Top 9 libros de ciencia ficción distópica,Los Juegos del Hambre,Suzanne Collins,978-8425356662,Juvenes luchando en un reality show mortal.,384,2008
Historia y Política,Top 9 libros sobre la Segunda Guerra Mundial,La Segunda Guerra Mundial,Antony Beevor,978-8425356679,Análisis exhaustivo de conflictos y estrategias bélicas.,864,2012
Historia y Política,Top 9 libros sobre la Segunda Guerra Mundial,El Diario de Ana Frank,Ana Frank,978-8425356686,Vida de una adolescente escondida durante el Holocausto.,352,1947
Historia y Política,Top 9 libros sobre la Segunda Guerra Mundial,Los Hijos de la Libertad,Ken Follett,978-8425356693,Espías y resistencia en la Europa ocupada.,640,2020
Historia y Política,Top 9 libros sobre la Segunda Guerra Mundial,El Alba de la Tercera Edad,Winston Churchill,978-8425356709,Memoires de Churchill durante la guerra.,752,1948
Historia y Política,Top 9 libros sobre la Segunda Guerra Mundial,La Noche Más Oscura,Mark Bowden,978-8425356716,Operación para capturar a Osama bin Laden.,448,2012
Historia y Política,Top 9 libros sobre la Segunda Guerra Mundial,Día D,Stephen Ambrose,978-8425356723,Desembarco de Normandía y sus consecuencias.,656,1994
Historia y Política,Top 9 libros sobre la Segunda Guerra Mundial,El Código Da Vinci,Dan Brown,978-8425356730,Misterios históricos y sociedades secretas.,512,2003
Historia y Política,Top 9 libros sobre la Segunda Guerra Mundial,Sapiens,Yuval Noah Harari,978-8425356747,Breve historia de la humanidad y sus conflictos.,464,2011
Historia y Política,Top 9 libros sobre la Segunda Guerra Mundial,El Puente de los Espías,Giles Whittell,978-8425356754,Intercambio de espías entre EE.UU. y URSS en la Guerra Fría.,320,2010
Historia y Política,Top 9 libros de filosofía para principiantes,El Mundo de Sofía,Jostein Gaarder,978-8425356761,Introducción a la filosofía a través de una historia misteriosa.,544,1991
Historia y Política,Top 9 libros de filosofía para principiantes,Así Habló Zaratustra,Friedrich Nietzsche,978-8425356778,Parábolas sobre el superhombre y la voluntad de poder.,352,1885
Historia y Política,Top 9 libros de filosofía para principiantes,El Príncipe,Maquiavelo,978-8425356785,Manual para gobernar y mantener el poder.,240,1513
Historia y Política,Top 9 libros de filosofía para principiantes,Fedón,Platón,978-8425356792,Diálogo sobre el alma y la inmortalidad.,128,380 a.C.
Historia y Política,Top 9 libros de filosofía para principiantes,El Existencialismo es un Humanismo,Jean-Paul Sartre,978-8425356808,Defensa del existencialismo y su relación con el marxismo.,144,1946
Historia y Política,Top 9 libros de filosofía para principiantes,Meditaciones,Marco Aurelio,978-8425356815,Reflexiones personales sobre ética y estoicismo.,256,180 d.C.
Historia y Política,Top 9 libros de filosofía para principiantes,El Contrato Social,Rousseau,978-8425356822,Origen del poder político y bases de la democracia.,192,1762
Historia y Política,Top 9 libros de filosofía para principiantes,La República,Platón,978-8425356839,Diálogo sobre justicia y el Estado ideal.,416,380 a.C.
Historia y Política,Top 9 libros de filosofía para principiantes,Ética a Nicómaco,Aristóteles,978-8425356846,Teoría sobre la virtud y la felicidad humana.,368,350 a.C.
Salud y Bienestar,Top 9 libros de nutrición saludable,Come, Reza, Ama,Elizabeth Gilbert,978-8425356853,Viaje de autodescubrimiento a través de la comida y espiritualidad.,352,2006
Salud y Bienestar,Top 9 libros de nutrición saludable,El Plan Renal,Cristina Muñoz,978-8425356860,Dieta para proteger riñones y salud renal.,288,2019
Salud y Bienestar,Top 9 libros de nutrición saludable,La Dieta de la Luna,Sergi Torres,978-8425356877,Ayunar según ciclos lunares para detoxificar.,224,2018
Salud y Bienestar,Top 9 libros de nutrición saludable,El Libro de la Cocina Saludable,Jamie Oliver,978-8425356884,Recetas nutritivas y fáciles para el día a día.,320,2017
Salud y Bienestar,Top 9 libros de nutrición saludable,El Método Kousmine,Catherine Kousmine,978-8425356891,Dieta basada en aceite de linaza y alimentos integrales.,256,1987
Salud y Bienestar,Top 9 libros de nutrición saludable,Ayuno Intermitente,Jason Fung,978-8425356907,Cómo ayunar para perder peso y mejorar salud.,288,2016
Salud y Bienestar,Top 9 libros de nutrición saludable,La Dieta de la Zona,Barry Sears,978-8425356914,Equilibrio hormonal mediante proporción de nutrientes.,320,1995
Salud y Bienestar,Top 9 libros de nutrición saludable,El Poder del Metabolismo,Frank Suarez,978-8425356921,Acelerar metabolismo para quemar grasa.,304,2010
Salud y Bienestar,Top 9 libros de nutrición saludable,Nutrición Deportiva,Anita Bean,978-8425356938,Alimentación para rendimiento deportivo.,352,2017
Literatura Clásica,Top 9 novelas rusas imprescindibles,Guerra y Paz,León Tolstói,978-8425356945,Épica sobre invasión napoleónica y vidas de aristócratas.,1232,1869
Literatura Clásica,Top 9 novelas rusas imprescindibles,Crimen y Castigo,Fiódor Dostoievski,978-8425356952,Asesinato, culpa y redención en San Petersburgo.,672,1866
Literatura Clásica,Top 9 novelas rusas imprescindibles,Anna Karenina,León Tolstói,978-8425356969,Tragedia de una adúltera en la sociedad rusa del siglo XIX.,864,1877
Literatura Clásica,Top 9 novelas rusas imprescindibles,Los Hermanos Karamázov,Fiódor Dostoievski,978-8425356976,Conflicto entre fe, razón y pasión en una familia.,960,1880
Literatura Clásica,Top 9 novelas rusas imprescindibles,El Maestro y Margarita,Mijaíl Bulgákov,978-8425356983,Sátira sobre la sociedad soviética con elementos fantásticos.,480,1967
Literatura Clásica,Top 9 novelas rusas imprescindibles,Un Hombre Feliz,Iván Turguénev,978-8425356990,Relatos sobre la vida rural rusa y sus contradicciones.,320,1856
Literatura Clásica,Top 9 novelas rusas imprescindibles,Padres e Hijos,Iván Turguénev,978-8425357003,Conflicto generacional entre nihilistas y conservadores.,256,1862
Literatura Clásica,Top 9 novelas rusas imprescindibles,El Idiota,Fiódor Dostoievski,978-8425357010,Inocencia y bondad en un mundo corrupto.,672,1869
Literatura Clásica,Top 9 novelas rusas imprescindibles,Resurrección,León Tolstói,978-8425357027,Redención moral a través del amor y la justicia.,512,1899
Viajes y Aventura,Top 9 libros de viajes por Latinoamérica,La Casa de los Espíritus,Isabel Allende,978-8425357034,Saga familiar en Chile con elementos mágicos.,464,1982
Viajes y Aventura,Top 9 libros de viajes por Latinoamérica,Diario de Motocicleta,Che Guevara,978-8425357041,Viaje juvenil por Sudamérica que moldeó su ideología.,192,1993
Viajes y Aventura,Top 9 libros de viajes por Latinoamérica,Cien Años de Soledad,Gabriel García Márquez,978-8425357058,Historia mítica de Macondo y la familia Buendía.,448,1967
Viajes y Aventura,Top 9 libros de viajes por Latinoamérica,El Alquimista,Paulo Coelho,978-8425357065,Búsqueda del tesoro personal a través del desierto.,208,1988
Viajes y Aventura,Top 9 libros de viajes por Latinoamérica,La Ciudad y los Perros,Mario Vargas Llosa,978-8425357072,Vida en un colegio militar peruano y corrupción.,320,1963
Viajes y Aventura,Top 9 libros de viajes por Latinoamérica,El Huevo de la Serpiente,Carlos Fuentes,978-8425357089,México a través de la historia y sus mitos.,416,1962
Viajes y Aventura,Top 9 libros de viajes por Latinoamérica,La Tía Julia y el Escribidor,Mario Vargas Llosa,978-8425357096,Comedia romántica y crítica social en Lima.,352,1977
Viajes y Aventura,Top 9 libros de viajes por Latinoamérica,El Viejo y el Mar,Ernest Hemingway,978-8425357102,Pescador cubano lucha contra un pez espada en el Caribe.,128,1952
Viajes y Aventura,Top 9 libros de viajes por Latinoamérica,Los Detectives Salvajes,Roberto Bolaño,978-8425357119,Búsqueda de poetas desaparecidos por México y el mundo.,656,1998
Arte y Creatividad,Top 9 libros sobre historia del arte,Historia del Arte,E.H. Gombrich,978-8425357126,Introducción completa a la historia del arte occidental.,688,1950
Arte y Creatividad,Top 9 libros sobre historia del arte,Los Secretos del Arte,Daniel Arasse,978-8425357133,Análisis de obras maestras y sus significados ocultos.,384,2006
Arte y Creatividad,Top 9 libros sobre historia del arte,El Arte como Experiencia,John Dewey,978-8425357140,Teoría sobre el arte como interacción entre obra y espectador.,368,1934
Arte y Creatividad,Top 9 libros sobre historia del arte,La Vida de los Artistas,Giorgio Vasari,978-8425357157,Biografías de artistas del Renacimiento italiano.,512,1550
Arte y Creatividad,Top 9 libros sobre historia del arte,El Guernica,Gijs van Hensbergen,978-8425357164,Historia del cuadro más famoso de Picasso y su contexto.,320,2004
Arte y Creatividad,Top 9 libros sobre historia del arte,Arte Moderno,Norbert Lynton,978-8425357171,Del impresionismo al arte contemporáneo.,448,1980
Arte y Creatividad,Top 9 libros sobre historia del arte,La Historia del Arte,Frederick Hartt,978-8425357188,Arte occidental desde la prehistoria hasta el siglo XX.,1024,1976
Arte y Creatividad,Top 9 libros sobre historia del arte,El Expresionismo,Shulamith Behr,978-8425357195,Movimiento artístico alemán y sus exponentes.,224,1999
Arte y Creatividad,Top 9 libros sobre historia del arte,Arte Contemporáneo,Brandon Taylor,978-8425357201,Tendencias y artistas desde 1945 hasta hoy.,352,2004
Ciencia y Naturaleza,Top 9 libros de divulgación científica,Breve Historia del Tiempo,Stephen Hawking,978-8425357218,Origen del universo, agujeros negros y viaje en el tiempo.,256,1988
Ciencia y Naturaleza,Top 9 libros de divulgación científica,Cosmos,Carl Sagan,978-8425357225,Viaje por el universo y la evolución de la ciencia.,384,1980
Ciencia y Naturaleza,Top 9 libros de divulgación científica,El Origen de las Especies,Charles Darwin,978-8425357232,Teoría de la evolución por selección natural.,544,1859
Ciencia y Naturaleza,Top 9 libros de divulgación científica,La Estructura de las Revoluciones Científicas,Thomas Kuhn,978-8425357249,Cómo la ciencia avanza mediante cambios de paradigma.,320,1962
Ciencia y Naturaleza,Top 9 libros de divulgación científica,El Gen Egoísta,Richard Dawkins,978-8425357256,Evolución desde la perspectiva de los genes.,360,1976
Ciencia y Naturaleza,Top 9 libros de divulgación científica,La Mente de Dios,Paul Davies,978-8425357263,Física y metafísica en la búsqueda del origen.,320,1992
Ciencia y Naturaleza,Top 9 libros de divulgación científica,Sapiens,Yuval Noah Harari,978-8425357270,Breve historia de la humanidad y su dominio del planeta.,464,2011
Ciencia y Naturaleza,Top 9 libros de divulgación científica,El Universo Elegant,Brian Greene,978-8425357287,Teoría de cuerdas y unificación de la física.,512,1999
Ciencia y Naturaleza,Top 9 libros de divulgación científica,El Cerebro de Broca,Carl Sagan,978-8425357294,Reflexiones sobre ciencia, religión y evolución.,352,1979
Misterio y Thriller,Top 9 thrillers psicológicos,La Chica del Tren,Paula Hawkins,978-8425357300,Mujer observa desde el tren un crimen que nadie más vio.,336,2015
Misterio y Thriller,Top 9 thrillers psicológicos,El Silencio de los Inocentes,Thomas Harris,978-8425357317,Agente FBI persigue a un asesino en serie con ayuda de otro.,368,1988
Misterio y Thriller,Top 9 thrillers psicológicos,Gone Girl,Gillian Flynn,978-8425357324,Matrimonio perfecto se desmorona tras desaparición de la esposa.,448,2012
Misterio y Thriller,Top 9 thrillers psicológicos,El Psicópata de al Lado,M.J. Arlidge,978-8425357331,Detective persigue a un asesino que elige víctimas al azar.,384,2014
Misterio y Thriller,Top 9 thrillers psicológicos,La Casa de al Lado,Shari Lapena,978-8425357348,Pareja descubre secretos oscuros de sus vecinos.,320,2016
Misterio y Thriller,Top 9 thrillers psicológicos,El Código Da Vinci,Dan Brown,978-8425357355,Símbolos religiosos y conspiraciones en un asesinato.,512,2003
Misterio y Thriller,Top 9 thrillers psicológicos,La Sombra del Viento,Carlos Ruiz Zafón,978-8425357362,Misterio en torno a un libro prohibido en la Barcelona posguerra.,576,2001
Misterio y Thriller,Top 9 thrillers psicológicos,Requiem por un Sueño,Hubert Selby Jr.,978-8425357379,Adicciones y sus consecuencias destructivas.,224,1978
Misterio y Thriller,Top 9 thrillers psicológicos,El Secreto,Ken Follett,978-8425357386,Conspiración para robar un manuscrito medieval.,512,2020
Relaciones y Familia,Top 9 libros sobre crianza positiva,Disciplina sin Lágrimas,Daniel Siegel,978-8425357393,Criar hijos con empatía y conexión emocional.,336,2014
Relaciones y Familia,Top 9 libros sobre crianza positiva,Cómo Hablar para que sus Hijos le Escuchen,Adele Faber,978-8425357409,Técnicas de comunicación efectiva con niños.,304,1980
Relaciones y Familia,Top 9 libros sobre crianza positiva,El Cerebro del Niño,Daniel J. Siegel,978-8425357416,Desarrollo cerebral infantil y cómo estimularlo.,336,2011
Relaciones y Familia,Top 9 libros sobre crianza positiva,Educar sin Lágrimas,Rosa Jové,978-8425357423,Crianza respetuosa y límites amorosos.,288,2003
Relaciones y Familia,Top 9 libros sobre crianza positiva,Padres Presentes, Hijos Felices,Rafael Guerrero,978-8425357430,Importancia de la paternidad activa.,256,2017
Relaciones y Familia,Top 9 libros sobre crianza positiva,La Disciplina Positiva,Jane Nelsen,978-8425357447,Educar con respeto y firmeza al mismo tiempo.,320,2006
Relaciones y Familia,Top 9 libros sobre crianza positiva,El Misterio del Niño,Janusz Korczak,978-8425357454,Derechos del niño y su dignidad.,224,1920
Relaciones y Familia,Top 9 libros sobre crianza positiva,Criar Bien a un Hijo,Carlos González,978-8425357461,Lactancia materna y crianza natural.,416,2003
Relaciones y Familia,Top 9 libros sobre crianza positiva,Educar en el Asombro,Catherine L'Ecuyer,978-8425357478,Fomentar curiosidad y aprendizaje significativo.,304,2015
Espiritualidad,Top 9 libros de mindfulness y meditación,El Poder del Ahora,Eckhart Tolle,978-8425357485,Vivir en el presente para liberarse de ansiedades.,224,1997
Espiritualidad,Top 9 libros de mindfulness y meditación,Mindfulness,Mark Williams,978-8425357492,Terapia cognitiva basada en mindfulness para depresión.,288,2007
Espiritualidad,Top 9 libros de mindfulness y meditación,El Camino del Artista,Julia Cameron,978-8425357508,Recuperar creatividad y superar bloqueos.,240,1992
Espiritualidad,Top 9 libros de mindfulness y meditación,La Práctica de la Atención Plena,Jon Kabat-Zinn,978-8425357515,Reducción del estrés mediante meditación.,432,1990
Espiritualidad,Top 9 libros de mindfulness y meditación,El Monje que Vendió su Ferrari,Robin Sharma,978-8425357522,Parábola sobre encontrar propósito y equilibrio.,208,1997
Espiritualidad,Top 9 libros de mindfulness y meditación,Un Curso de Milagros,Helen Schucman,978-8425357539,Enseñanzas espirituales para paz interior.,672,1976
Espiritualidad,Top 9 libros de mindfulness y meditación,El Libro Tibetano de la Vida y la Muerte,Sogyal Rimpoché,978-8425357546,Muerte y morir desde la perspectiva budista.,512,1992
Espiritualidad,Top 9 libros de mindfulness y meditación,La Paz Interior,Thich Nhat Hanh,978-8425357553,Encontrar serenidad en un mundo caótico.,192,1991
Espiritualidad,Top 9 libros de mindfulness y meditación,Meditación,Osho,978-8425357560,Técnicas para experimentar estados meditativos.,320,1988
Economía y Sociedad,Top 9 libros sobre desigualdad económica,Capital en el Siglo XXI,Thomas Piketty,978-8425357577,Análisis de concentración de riqueza y sus soluciones.,976,2013
Economía y Sociedad,Top 9 libros sobre desigualdad económica,El Capitalismo del Siglo XXI,Joseph Stiglitz,978-8425357584,Crítica al sistema económico actual y propuestas de cambio.,448,2015
Economía y Sociedad,Top 9 libros sobre desigualdad económica,La Globalización y sus Descontentos,Joseph Stiglitz,978-8425357591,Efectos negativos de la globalización en países pobres.,304,2002
Economía y Sociedad,Top 9 libros sobre desigualdad económica,23 Cosas que no te Cuentan sobre el Capitalismo,Ha-Joon Chang,978-8425357607,Mitos económicos desmentidos con datos históricos.,304,2010
Economía y Sociedad,Top 9 libros sobre desigualdad económica,El Choque de Civilizaciones,Samuel Huntington,978-8425357614,Conflictos futuros entre culturas como eje de la política.,384,1996
Economía y Sociedad,Top 9 libros sobre desigualdad económica,La Riqueza de las Naciones,Adam Smith,978-8425357621,Fundamentos del capitalismo y división del trabajo.,1152,1776
Economía y Sociedad,Top 9 libros sobre desigualdad económica,El Fin de la Pobreza,Jeffrey Sachs,978-8425357638,Plan para erradicar pobreza extrema para 2025.,432,2005
Economía y Sociedad,Top 9 libros sobre desigualdad económica,Economía para No Economistas,John Kenneth Galbraith,978-8425357645,Conceptos económicos explicados de forma sencilla.,336,1978
Economía y Sociedad,Top 9 libros sobre desigualdad económica,El Mundo es Plano,Thomas Friedman,978-8425357652,Globalización y sus efectos en la economía mundial.,512,2005
Deportes,Top 9 libros de fútbol,Fútbol Contra el Enemigo,Simon Kuper,978-8425357669,Cómo el fútbol refleja política y sociedad.,448,2006
Deportes,Top 9 libros de fútbol,El Origen,Dan Brown,978-8425357676,Orígenes históricos del fútbol y sus reglas.,384,2017
Deportes,Top 9 libros de fútbol,Soccernomics,Simon Kuper,978-8425357683,Estadísticas y economía aplicadas al fútbol.,432,2009
Deportes,Top 9 libros de fútbol,Maradona: La Historia Oficial,Ariel Scher,978-8425357690,Biografía completa de Diego Armando Maradona.,576,2005
Deportes,Top 9 libros de fútbol,El Clásico,Sid Lowe,978-8425357706,Rivalidad entre Real Madrid y Barcelona.,352,2013
Deportes,Top 9 libros de fútbol,Fútbol Total,David Winner,978-8425357713,Filosofía del fútbol holandés y su influencia.,320,2000
Deportes,Top 9 libros de fútbol,Invertir en Fútbol,Rodrigo Hernández,978-8425357720,Finanzas y negocios en el mundo del fútbol.,288,2018
Deportes,Top 9 libros de fútbol,El Día Menos Pensado,Jorge Valdano,978-8425357737,Reflexiones sobre el fútbol y su trascendencia.,256,2015
